userName,score,at,content,clean_teks,polarity_score,polarity
Restu bsm,1,2023-11-14 23:42:42,Di mohon kepada developer untuk membuat fitur hapus semua simpanan karena menghapus persatu-satu melelahkan sebab terlalu banyak di simpan bahkan video yang terhapus oleh tiktok tidak ikut menghilang itu sangat menyusahkan. Dan tambah fitur untuk mencari video yang pertama kali di simpan untuk di lihat lagi sebab mencari persatu-satu video sangat lama. Terima kasih atas kerjasamanya semoga pengembangan ini terwujud kan secepatnya.,"['mohon', 'developer', 'fitur', 'hapus', 'simpan', 'hapus', 'persatusatu', 'lelah', 'simpan', 'video', 'hapus', 'tiktok', 'hilang', 'susah', 'fitur', 'cari', 'video', 'kali', 'simpan', 'lihat', 'cari', 'persatusatu', 'video', 'terima', 'kasih', 'kerjasamanya', 'moga', 'kembang', 'wujud', 'cepat']",-15,negative
Isi Ref GBHTXZ6QRXYZU dptbonus,5,2023-11-05 12:58:45,"Kumpulan video tiktok sangat nyaman ditonton ya karena mampu memberikan kepuasan bagi setiap pengguna nya,nah utk kamu yang ingin mendapatkan tambahan penghasilan bisa mencoba aplikasi ini, aplikasi nya sangat rekomendasi banget buat para penikmat video pendek.Menurut aku aplikasi ini sudah sangat sempurna banget ya hanya membutuhkan beberapa tambahan menu saja biar semakin mantap seperti 360utc,380utc yang sangat membantu memutar video saat jaringan lagi kurang stabil.","['kumpul', 'video', 'tiktok', 'nyaman', 'tonton', 'iya', 'puas', 'guna', 'nyanah', 'untuk', 'tambah', 'hasil', 'coba', 'aplikasi', 'aplikasi', 'rekomendasi', 'banget', 'nikmat', 'video', 'pendekmenurut', 'aplikasi', 'sempurna', 'banget', 'iya', 'butuh', 'tambah', 'menu', 'biar', 'mantap', 'utcutc', 'bantu', 'putar', 'video', 'jaringan', 'stabil']",6,positive
Ingga Asu,5,2023-11-21 16:54:07,"Aplikasi ini sangat bagus ya, mudah digunakan dan memberikan rasa nyaman ketika menonton video, menurut aku aplikasi ini sudah sangat bagus dan nyaris sempurna ya, hanya saja masih membutuhkan beberapa tambahan menu saja biar semakin komplit seperti perlunya 360 utc untuk membantu memutar video saat jaringan lagi kurang stabil ya.","['aplikasi', 'bagus', 'iya', 'mudah', 'nyaman', 'tonton', 'video', 'aplikasi', 'bagus', 'sempurna', 'iya', 'butuh', 'tambah', 'menu', 'biar', 'komplit', 'utc', 'bantu', 'putar', 'video', 'jaringan', 'stabil', 'iya']",-10,negative
Rizky Maulana,1,2023-11-15 19:27:21,"Ini tiktok kenapa sih semakin di update makin berat aplikasinya,baru masuk ke aplikasi nya lama banget malah nge stuck dilogo?aplikasinya menyebabkan lag,stuck dilogo,force close,kadang suka log out sendiri?tolong diperbaiki!!!!!!!!!!!!!","['tiktok', 'sih', 'terbaru', 'berat', 'aplikasinyabaru', 'masuk', 'aplikasi', 'banget', 'nge', 'stuck', 'dilogoaplikasinya', 'sebab', 'lagstuck', 'dilogoforce', 'closekadang', 'suka', 'log', 'keluar', 'sendiritolong', 'baik']",2,positive
Asu Jangenh,5,2023-11-21 06:46:30,"Aplikasi yang satu ini sangat tertata rapi dan bisa dibilang sangatlah pleksibel dan ditunjang dengan berbagai fitur fitur terbaik dalam hal pemutar video, simpel dan sangat nyaman ketika digunakan menonton video ya, pengalaman saya ketika menggunakan aplikasi ini nyaris tanpa bug dan kendala sama sekali, sekali mencoba aplikasi nya kalian pasti bakal menyukai nya, aplikasi ini sangat bagus dan cocok buat kalian semua nya.","['aplikasi', 'tata', 'rapi', 'bilang', 'pleksibel', 'tunjang', 'fitur', 'fitur', 'baik', 'putar', 'video', 'simpel', 'nyaman', 'tonton', 'video', 'iya', 'alam', 'aplikasi', 'bug', 'kendala', 'coba', 'aplikasi', 'suka', 'aplikasi', 'bagus', 'cocok']",-3,negative
Nurfa faujiah Upa,3,2023-11-18 21:54:45,"aplikasinya bagus cuman ya banyak bug nya apalagi fitur slide foto yang kadang sering hilang atau tidak bisa digunakan karena langsung slide otomatis jadi mohon untuk di perbaiki SECEPATNYA,karena aing mau buat au udah ngebuat AU nya malah fitur slide foto nya nge slide otomatis gustiii capek,udah liat tutorial di YouTube tiktok dll tapi tetep gak bisa di gunain,jadi mohon ya tok SEGERA DI PERBAIKI untuk bug atau apalah itu SEKIAN TERIMAKSIH","['aplikasi', 'bagus', 'cuman', 'iya', 'bug', 'fitur', 'slide', 'foto', 'kadang', 'hilang', 'langsung', 'slide', 'otomatis', 'mohon', 'baik', 'secepatnyakarena', 'saya', 'au', 'sudah', 'ngebuat', 'au', 'fitur', 'slide', 'foto', 'nge', 'slide', 'otomatis', 'gustiii', 'capekudah', 'lihat', 'tutorial', 'youtube', 'tiktok', 'dan lain lain', 'tetep', 'gak', 'gunainjadi', 'mohon', 'iya', 'tok', 'baik', 'bug', 'apa', 'sekian', 'terimaksih']",17,positive
FAIZ RIZKY,1,2023-11-15 10:07:22,"Dasar aplikasi sampah gimana sih video yang dicari kadang tidak ada video yang di like suka ada yang hilang kadang video audio atau efek ""tidak tersedia"" kadang kalau lihat foto tidak ada gambarnya hanya hitam dan logonya saja videonya sering ngelag dan keterangan ""jaringan anda tidak stabil"" padahal internet bagus juga sering keluar sendiri dari aplikasi sering ngebug juga kalau gini terus ku kasih ⭐ 1 dah","['dasar', 'aplikasi', 'sampah', 'bagaimana', 'sih', 'video', 'cari', 'kadang', 'video', 'like', 'suka', 'hilang', 'kadang', 'video', 'audio', 'efek', 'sedia', 'kadang', 'lihat', 'foto', 'gambar', 'hitam', 'logo', 'video', 'lelet', 'terang', 'jaringan', 'stabil', 'internet', 'bagus', 'aplikasi', 'bug', 'gin', 'ku', 'kasih', '', 'sudah']",2,positive
Iwan Sa,1,2023-11-06 22:14:05,"Banyak bug yang terjadi, mulai dari video yang sering ngeframe sendiri,sering tiba2 keluar aplikasi sendiri,sering komennya pada hilang,gak bisa ngelike, jaringan yang tiba2 ngelag,tapi pas di buka aplikasi lain lancar. Tolong dong tiktok di perbaiki lagi, kami ingin tiktok yang dulu,bukannya di upgrade malah banyak bug.. Terima kasih","['bug', 'video', 'ngeframe', 'sendirisering', 'aplikasi', 'sendirisering', 'komennya', 'hilanggak', 'ngelike', 'jaringan', 'ngelagtapi', 'pas', 'buka', 'aplikasi', 'lancar', 'tolong', 'tiktok', 'baik', 'tiktok', 'dulubukannya', 'meningkatkan', 'bug', 'terima', 'kasih']",-1,negative
Green Jade,1,2023-10-28 12:36:49,"Konten video sama diposting dua kali dengan perbedaannya menghilangkan sekian detik bagian depan video. Tetapi hasilnya satu bisa tayang satu dihapus kok bisa gitu? Videonya sama Lo, yg full bisa tayang, yg diedit dihilangkan sebagian dihapus??? Aneh banget, min yg ngecek video lagi ada masalah apa sih????? Bukti screenshot sudah saya kirim via apps","['konten', 'video', 'diposting', 'kali', 'beda', 'hilang', 'sekian', 'detik', 'video', 'hasil', 'tayang', 'hapus', 'gitu', 'video', 'kamu', 'penuh', 'tayang', 'edit', 'hilang', 'hapus', 'aneh', 'banget', 'min', 'cek', 'video', 'sih', 'bukti', 'screenshot', 'kirim', 'melalui', 'aplikasi']",-7,negative
Bayu Orai,5,2023-11-20 15:27:30,"Aplikasi tiktok sangat bagus dan memuaskan banget ya, menurut aku aplikasi ini sangat sempurna dan dilengkapi dengan fitur-fitur yang sangat memadai seperti 360 utc yang sangat membantu, aplikasi nya memberikan rasa nyaman ketika digunakan dan hingga mampu memberikan kenyamanan setiap kali menggunakan nya menonton video.","['aplikasi', 'tiktok', 'bagus', 'muas', 'banget', 'iya', 'aplikasi', 'sempurna', 'lengkap', 'fiturfitur', 'pada', 'utc', 'bantu', 'aplikasi', 'nyaman', 'nyaman', 'kali', 'tonton', 'video']",-10,negative
Saputra Devia,1,2023-10-30 09:42:13,"Maaf, tolong perbaiki bug dari tiktok, yaitu sulit untuk buka aplikasinya, bahkan tidak bisa di pakai, harus di uninstal dulu trus download lagi baru bisa, tapi tetep kalo sudah beberapa hari bugnya terjadi lagi, tlong di perbaiki, demi kebaikan develover sama penguna, agar pihak develover tidak dapat rating rendah, dan pengguna tidak menyesal karna telah menghabiskan kuota internet, untuk download tiktok ini, itu saja terima kasih, + kalo bisa kirim vidio, saya punya buktibukti bugnya","['maaf', 'tolong', 'baik', 'bug', 'tiktok', 'sulit', 'buka', 'aplikasi', 'pakai', 'copot', 'terus', 'unduh', 'tetep', 'kalau', 'bugnya', 'tolong', 'baik', 'baik', 'develover', 'konsumen', 'develover', 'rating', 'rendah', 'guna', 'sesal', 'karena', 'habis', 'kuota', 'internet', 'unduh', 'tiktok', 'terima', 'kasih', 'kalau', 'kirim', 'vidio', 'buktibukti', 'bugnya']",-14,negative
Jannatun Ni'mah,2,2023-09-20 20:36:04,"Dear tiktok, saya sebagai pengguna tiktok sangat terbantu dalam memahami dunia konten digital yang sedang tren dan hangat diperbincangkan, namun untuk kualitas dari performa aplikasinya kadang tidak sesuai dengan yang diharapkan,padahal sudah diupdate 1 minggu lalu tetapi ketika masuk livestreaming orang sering ngebug dan terkeluar sendiri dari aplikasinya. Saya harap untuk bisa dioptimalkan lagi kedepannya. Terimakasih.","['terhormat', 'tiktok', 'guna', 'tiktok', 'bantu', 'paham', 'dunia', 'konten', 'digital', 'trend', 'hangat', 'bincang', 'kualitas', 'performa', 'aplikasi', 'kadang', 'sesuai', 'diharapkanpadahal', 'terbaru', 'minggu', 'masuk', 'livestreaming', 'orang', 'bug', 'keluar', 'aplikasi', 'harap', 'optimal', 'depan', 'terima kasih']",10,positive
Aji Sepuh,1,2023-09-25 11:57:01,"Setelah update beberapa waktu yang lalu, TikTok semakin berat untuk di jalankan. Hp saya RAM tersisan 3.6gb, belum juga masuk ke aplikasi TikTok, TikTok ini sudah menggunakan 3gb lebih RAM saya. Itupun aplikasinya belum terbuka/bisa saya gunakan. Jadi tolong diperbaiki, sekiranya ada sesuatu yang tidak perlu/tidak penting"" banget ada di TikTok, sebiaknya dihilangkan saja.","['terbaru', 'tiktok', 'berat', 'jalan', 'seluler', 'ram', 'sis', 'gb', 'masuk', 'aplikasi', 'tiktok', 'tiktok', 'gb', 'ram', 'itu', 'aplikasi', 'terbukabisa', 'tolong', 'baik', 'perlutidak', 'banget', 'tiktok', 'biak', 'hilang']",-10,negative
Aku Cantikkan,1,2023-11-11 19:21:47,Ketika melihat postingan orang lain foto sering hitam (foto tidak terlihat hanya gambar hitam saja dengan lambang tiktok)... Aplikasi kadang keluar sendiri.. banyak bug.. konten-konten banyak yang tidak bermanfaat..,"['postingan', 'orang', 'foto', 'hitam', 'foto', 'gambar', 'hitam', 'lambang', 'tiktok', 'aplikasi', 'kadang', 'bug', 'kontenkonten', 'manfaat']",-2,negative
Irma Wiji astuti,3,2023-09-24 22:53:57,"TOLONG DI PERBAIKI DAN D PERHATIKAN . Akhir2 ini tiktok sering update. Juga kadang error .g bisa kebuka lah. Cuma muncul logo kadang tidak menanggapi hal tersebut mempengaruhi aplikasi lain jadi ngeleg. Ngebug. Patah2 lelet ,sudah banyak yg mengeluh jadi mohon buat management tiktok tolong di tindak lanjuti","['tolong', 'baik', 'di', 'perhati', 'tiktok', 'terbaru', 'kadang', 'error', 'g', 'buka', 'muncul', 'logo', 'kadang', 'tanggap', 'pengaruh', 'aplikasi', 'lelet', 'bug', 'patah', 'lambat', 'keluh', 'mohon', 'management', 'tiktok', 'tolong', 'tindak', 'lanjut']",-5,negative
Mayza Gie,1,2023-11-19 14:23:57,"Fitur ""search"" di filter hilang, mode foto juga hilang, terus beberapa filter ga bisa dipake. Pokoknya banyak jeleknya setelah di-update, seharusnya makin bagus ini malah makin down","['fitur', 'search', 'filter', 'hilang', 'mode', 'foto', 'hilang', 'filter', 'tidak', 'dipake', 'pokok', 'jelek', 'terbaru', 'bagus', 'bawah']",-7,negative
