userName,score,at,content,clean_teks,polarity_score,polarity
Restu bsm,1,2023-11-14 23:42:42,Di mohon kepada developer untuk membuat fitur hapus semua simpanan karena menghapus persatu-satu melelahkan sebab terlalu banyak di simpan bahkan video yang terhapus oleh tiktok tidak ikut menghilang itu sangat menyusahkan. Dan tambah fitur untuk mencari video yang pertama kali di simpan untuk di lihat lagi sebab mencari persatu-satu video sangat lama. Terima kasih atas kerjasamanya semoga pengembangan ini terwujud kan secepatnya.,"['', 'mohon', '', 'developer', '', 'buat', 'fitur', 'hapus', 'semua', 'simpan', '', 'hapus', 'persatusatu', 'lelah', '', 'terlalu', 'banyak', '', 'simpan', 'bahkan', 'video', '', 'hapus', '', 'tiktok', '', 'ikut', 'hilang', '', 'sangat', 'susah', '', 'tambah', 'fitur', '', 'cari', 'video', '', 'pertama', 'kali', '', 'simpan', '', '', 'lihat', '', '', 'cari', 'persatusatu', 'video', 'sangat', 'lama', 'terima', 'kasih', 'atas', 'kerjasamanya', 'moga', 'kembang', '', 'wujud', 'kan', 'cepat']",-32,negative
Isi Ref GBHTXZ6QRXYZU dptbonus,5,2023-11-05 12:58:45,"Kumpulan video tiktok sangat nyaman ditonton ya karena mampu memberikan kepuasan bagi setiap pengguna nya,nah utk kamu yang ingin mendapatkan tambahan penghasilan bisa mencoba aplikasi ini, aplikasi nya sangat rekomendasi banget buat para penikmat video pendek.Menurut aku aplikasi ini sudah sangat sempurna banget ya hanya membutuhkan beberapa tambahan menu saja biar semakin mantap seperti 360utc,380utc yang sangat membantu memutar video saat jaringan lagi kurang stabil.","['kumpul', 'video', 'tiktok', 'sangat', 'nyaman', 'tonton', '', '', 'mampu', 'beri', 'puas', '', '', 'guna', 'nyanah', 'untuk', 'kamu', '', '', 'dapat', 'tambah', 'hasil', '', 'coba', 'aplikasi', '', 'aplikasi', 'nya', 'sangat', 'rekomendasi', 'banget', 'buat', '', 'nikmat', 'video', 'pendekmenurut', 'aku', 'aplikasi', '', '', 'sangat', 'sempurna', 'banget', '', '', 'butuh', 'beberapa', 'tambah', 'menu', '', 'biar', 'makin', 'mantap', '', 'utcutc', '', 'sangat', 'bantu', 'putar', 'video', '', 'jaringan', '', 'kurang', 'stabil']",-3,negative
Ingga Asu,5,2023-11-21 16:54:07,"Aplikasi ini sangat bagus ya, mudah digunakan dan memberikan rasa nyaman ketika menonton video, menurut aku aplikasi ini sudah sangat bagus dan nyaris sempurna ya, hanya saja masih membutuhkan beberapa tambahan menu saja biar semakin komplit seperti perlunya 360 utc untuk membantu memutar video saat jaringan lagi kurang stabil ya.","['aplikasi', '', 'sangat', 'bagus', '', 'mudah', 'guna', '', 'beri', 'rasa', 'nyaman', '', 'tonton', 'video', '', 'aku', 'aplikasi', '', '', 'sangat', 'bagus', '', 'nyaris', 'sempurna', '', '', '', '', 'butuh', 'beberapa', 'tambah', 'menu', '', 'biar', 'makin', 'komplit', '', 'perlu', 'utc', '', 'bantu', 'putar', 'video', '', 'jaringan', '', 'kurang', 'stabil', '']",-13,negative
Tau Maloyo,5,2023-11-22 16:37:51,"Aplikasi ini sangat layak dicobain ya, bagus dan memiliki konsistensi dalam hal pemutar video, selain itu pula kita aplikasi ini sangat ringan dan mudah ketika ingin di dowload. Ngga perlu banyak memakan ram ya sehingga ngga butuh waktu lama ketika kita ingin mendownload nya. Pengalaman sy ketika menggunakan aplikasi ini nyaris tanpa bug sama sekali. Berbagai pengalaman bisa kita dapatkan dengan mendownload aplikasi ini ya.","['aplikasi', '', 'sangat', 'layak', 'dicobain', '', 'bagus', '', 'milik', 'konsistensi', '', '', 'putar', 'video', '', '', '', '', 'aplikasi', '', 'sangat', 'ringan', '', 'mudah', '', '', '', 'dowload', 'tidak', 'perlu', 'banyak', 'makan', 'ram', '', '', 'tidak', 'butuh', 'waktu', 'lama', '', '', '', 'unduh', 'nya', 'alam', 'saya', '', 'guna', 'aplikasi', '', 'nyaris', '', 'bug', 'sama', 'sekali', 'bagai', 'alam', '', '', 'dapat', '', 'unduh', 'aplikasi', '', '']",-37,negative
Rizky Maulana,1,2023-11-15 19:27:21,"Ini tiktok kenapa sih semakin di update makin berat aplikasinya,baru masuk ke aplikasi nya lama banget malah nge stuck dilogo?aplikasinya menyebabkan lag,stuck dilogo,force close,kadang suka log out sendiri?tolong diperbaiki!!!!!!!!!!!!!","['', 'tiktok', '', 'sih', 'makin', '', 'terbaru', 'makin', 'berat', 'aplikasinyabaru', 'masuk', '', 'aplikasi', 'nya', 'lama', 'banget', 'bahkan', 'nge', 'stuck', 'dilogoaplikasinya', 'sebab', 'lagstuck', 'dilogoforce', 'closekadang', 'suka', 'log', 'keluar', 'sendiritolong', 'baik']",2,positive
Asu Jangenh,5,2023-11-21 06:46:30,"Aplikasi yang satu ini sangat tertata rapi dan bisa dibilang sangatlah pleksibel dan ditunjang dengan berbagai fitur fitur terbaik dalam hal pemutar video, simpel dan sangat nyaman ketika digunakan menonton video ya, pengalaman saya ketika menggunakan aplikasi ini nyaris tanpa bug dan kendala sama sekali, sekali mencoba aplikasi nya kalian pasti bakal menyukai nya, aplikasi ini sangat bagus dan cocok buat kalian semua nya.","['aplikasi', '', 'satu', '', 'sangat', 'tata', 'rapi', '', '', 'bilang', 'sangat', 'pleksibel', '', 'tunjang', '', 'bagai', 'fitur', 'fitur', 'baik', '', '', 'putar', 'video', 'simpel', '', 'sangat', 'nyaman', '', 'guna', 'tonton', 'video', '', 'alam', '', '', 'guna', 'aplikasi', '', 'nyaris', '', 'bug', '', 'kendala', 'sama', 'sekali', 'sekali', 'coba', 'aplikasi', 'nya', 'kalian', '', 'bakal', 'suka', 'nya', 'aplikasi', '', 'sangat', 'bagus', '', 'cocok', 'buat', 'kalian', 'semua', 'nya']",-8,negative
FAIZ RIZKY,1,2023-11-15 10:07:22,"Dasar aplikasi sampah gimana sih video yang dicari kadang tidak ada video yang di like suka ada yang hilang kadang video audio atau efek ""tidak tersedia"" kadang kalau lihat foto tidak ada gambarnya hanya hitam dan logonya saja videonya sering ngelag dan keterangan ""jaringan anda tidak stabil"" padahal internet bagus juga sering keluar sendiri dari aplikasi sering ngebug juga kalau gini terus ku kasih ⭐ 1 dah","['dasar', 'aplikasi', 'sampah', 'bagaimana', 'sih', 'video', '', 'cari', 'kadang', '', '', 'video', '', '', 'like', 'suka', '', '', 'hilang', 'kadang', 'video', 'audio', '', 'efek', '', 'sedia', 'kadang', 'kalau', 'lihat', 'foto', '', '', 'gambar', '', 'hitam', '', 'logo', '', 'video', 'sering', 'lelet', '', 'terang', 'jaringan', '', '', 'stabil', 'padahal', 'internet', 'bagus', '', 'sering', 'keluar', 'sendiri', '', 'aplikasi', 'sering', 'bug', '', 'kalau', 'gin', 'terus', 'ku', 'kasih', 'sudah']",3,positive
Nurfa faujiah Upa,3,2023-11-18 21:54:45,"aplikasinya bagus cuman ya banyak bug nya apalagi fitur slide foto yang kadang sering hilang atau tidak bisa digunakan karena langsung slide otomatis jadi mohon untuk di perbaiki SECEPATNYA,karena aing mau buat au udah ngebuat AU nya malah fitur slide foto nya nge slide otomatis gustiii capek,udah liat tutorial di YouTube tiktok dll tapi tetep gak bisa di gunain,jadi mohon ya tok SEGERA DI PERBAIKI untuk bug atau apalah itu SEKIAN TERIMAKSIH","['aplikasi', 'bagus', 'cuman', '', 'banyak', 'bug', 'nya', '', 'fitur', 'slide', 'foto', '', 'kadang', 'sering', 'hilang', '', '', '', 'guna', '', 'langsung', 'slide', 'otomatis', 'jadi', 'mohon', '', '', 'baik', 'secepatnyakarena', 'saya', 'mau', 'buat', 'au', 'sudah', 'ngebuat', 'au', 'nya', 'bahkan', 'fitur', 'slide', 'foto', 'nya', 'nge', 'slide', 'otomatis', 'gustiii', 'capekudah', 'lihat', 'tutorial', '', 'youtube', 'tiktok', '', '', 'tetep', 'gak', '', '', 'gunainjadi', 'mohon', '', 'tok', 'segera', '', 'baik', '', 'bug', '', 'apa', '', 'sekian', 'terimaksih']",25,positive
Iwan Sa,1,2023-11-06 22:14:05,"Banyak bug yang terjadi, mulai dari video yang sering ngeframe sendiri,sering tiba2 keluar aplikasi sendiri,sering komennya pada hilang,gak bisa ngelike, jaringan yang tiba2 ngelag,tapi pas di buka aplikasi lain lancar. Tolong dong tiktok di perbaiki lagi, kami ingin tiktok yang dulu,bukannya di upgrade malah banyak bug.. Terima kasih","['banyak', 'bug', '', 'jadi', 'mulai', '', 'video', '', 'sering', 'ngeframe', 'sendirisering', 'tiba', 'keluar', 'aplikasi', 'sendirisering', 'komennya', '', 'hilanggak', '', 'ngelike', 'jaringan', '', 'tiba', 'ngelagtapi', 'pas', '', 'buka', 'aplikasi', '', 'lancar', '', 'dong', 'tiktok', '', 'baik', '', '', '', 'tiktok', '', 'dulubukannya', '', 'meningkatkan', 'bahkan', 'banyak', 'bug', 'terima', 'kasih']",1,positive
Layerscake_,1,2023-10-28 12:36:49,"Konten video sama diposting dua kali dengan perbedaannya menghilangkan sekian detik bagian depan video. Tetapi hasilnya satu bisa tayang satu dihapus kok bisa gitu? Videonya sama Lo, yg full bisa tayang, yg diedit dihilangkan sebagian dihapus??? Aneh banget, min yg ngecek video lagi ada masalah apa sih????? Bukti screenshot sudah saya kirim via apps","['konten', 'video', 'sama', 'diposting', '', 'kali', '', 'beda', 'hilang', 'sekian', 'detik', 'bagi', 'depan', 'video', '', 'hasil', 'satu', '', 'tayang', 'satu', 'hapus', 'kok', '', 'gitu', 'video', 'sama', 'kamu', 'yang', 'penuh', '', 'tayang', 'yang', 'edit', 'hilang', 'bagi', 'hapus', 'aneh', 'banget', 'min', 'yang', 'cek', 'video', '', '', 'masalah', 'apa', 'sih', 'bukti', 'screenshot', '', '', 'kirim', 'melalui', 'aplikasi']",-23,negative
